instance,n,value,BSPR,BSPR,EBSPR,EBSPR,BSS,BSS,EBSS,EBSS,BOEM,EBOEM,KL,Louvain
,,,15log_2{n},n,15log_2{n},n,15log_2{n},n,15log_2{n},n,,,,
CPn50-1,50,13562,11046,11046,11046,11046,11527,11527,11527,11527,11046,11046,11468,11046
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn50-2,50,14080,11089,11089,11089,11089,11750,11750,11750,11750,11089,11089,11550,11089
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn50-3,50,13172,10970,10970,11568,11568,10652,10652,10665,10665,10970,10870,12160,10870
,,,0.016,0,0,0,0,0.016,0,0,0,0,0,0
CPn50-4,50,13728,11021,11021,11496,11496,10345,10345,11611,11611,11021,11347,12433,11347
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
CPn65-1,65,20028,17981,17981,17981,17981,16890,16890,17483,17483,17829,17829,18018,17829
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn65-2,65,20753,17410,17410,17410,17410,18125,18125,17881,17881,17276,17276,18448,17276
,,,0,0,0,0.016,0,0,0,0,0,0,0,0
CPn65-3,65,20463,16962,16962,17191,17191,17013,17013,17013,17013,16962,17191,17757,17191
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn65-4,65,20000,15851,15851,15968,15968,16884,16884,16622,16622,15851,15851,17235,15851
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
CPn100-1,100,37188,30622,30622,30622,30622,29882,29882,29882,29882,30155,30155,31084,30155
,,,0,0.016,0,0,0,0,0,0,0,0,0,0
CPn100-2,100,37460,30410,30410,31387,31387,30613,30613,30932,30932,30378,31006,31486,31006
,,,0,0,0,0.016,0,0,0,0,0,0,0.016,0
CPn100-3,100,39766,32901,32901,32901,32901,32734,32734,32734,32734,32549,32549,35051,32549
,,,0,0,0,0,0,0,0,0,0,0,0,0
CPn100-4,100,38192,31108,31108,31078,31078,30270,30270,30431,30431,30483,30483,31691,30483
,,,0,0.016,0,0,0,0,0,0,0,0,0.016,0
am-25-3,50,625,100,100,100,100,100,100,100,100,100,100,100,100
,,,0,0,0.016,0.016,0,0,0,0,0,0,0,0
am-25-10,50,800,275,275,275,275,275,275,275,275,275,275,275,275
,,,0,0,0,0,0,0,0,0,0,0,0,0
am-25-20,50,1050,525,525,525,525,525,525,525,525,525,525,525,525
,,,0,0,0,0,0,0,0,0,0,0,0,0
am-50-3,100,2500,200,200,200,200,200,200,200,200,200,200,200,200
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
am-50-10,100,2850,550,550,550,550,550,550,550,550,550,550,550,550
,,,0,0,0,0,0,0,0,0,0,0,0,0
am-50-20,100,3350,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
,,,0,0,0,0,0,0,0,0,0,0,0,0
am-75-3,150,5625,300,300,300,300,300,300,300,300,300,300,300,300
,,,0,0,0,0,0.016,0,0,0,0,0,0,0
am-75-10,150,6150,825,825,825,825,825,825,825,825,825,825,825,825
,,,0,0,0,0,0,0,0,0,0,0,0,0
am-75-20,150,6900,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575
,,,0,0,0,0,0,0,0,0,0,0,0,0
am-100-3,200,10000,400,400,400,400,400,400,400,400,400,400,400,400
,,,0.016,0,0,0,0.016,0,0,0,0,0,0.016,0
am-100-10,200,10700,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
,,,0,0,0.016,0,0,0,0,0.016,0,0,0.016,0
am-100-20,200,11700,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
,,,0,0,0.016,0,0,0.016,0,0.016,0,0,0.016,0
am-125-3,250,15625,500,500,500,500,500,500,500,500,500,500,500,500
,,,0,0,0,0,0,0,0.016,0.016,0,0,0.016,0
am-125-10,250,16500,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
,,,0.016,0,0,0.016,0,0,0,0.016,0,0,0.031,0
am-125-20,250,17750,2625,2625,2625,2625,2625,2625,2625,2625,2625,2625,2625,2625
,,,0.016,0,0.016,0,0.016,0.016,0,0,0.016,0,0.016,0
am-150-3,300,22500,600,600,600,600,600,600,600,600,600,600,600,600
,,,0.016,0.016,0.016,0.016,0,0,0.016,0,0,0,0.031,0
am-150-10,300,23550,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
,,,0,0,0.016,0,0,0.016,0.016,0.016,0.016,0,0.047,0
am-150-20,300,25050,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150,3150
,,,0,0,0,0,0,0.016,0,0,0,0,0.047,0
neg-c-00,50,752,650,650,650,650,628,628,630,630,694,649,720,649
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-10,50,649,612,612,637,637,598,598,604,604,612,637,637,637
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-20,50,604,532,532,529,529,526,526,526,526,521,507,584,507
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-30,50,582,504,504,504,504,504,504,550,550,504,504,548,504
,,,0,0.016,0,0,0,0,0,0,0,0,0.016,0
neg-c-40,50,577,551,551,558,558,549,549,554,554,521,523,551,523
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-50,50,549,525,525,525,525,525,525,525,525,525,525,525,525
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-60,50,463,448,448,448,448,459,459,453,453,407,407,443,407
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-70,50,452,408,408,421,421,408,408,420,420,399,399,410,399
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-c-80,50,317,306,306,305,305,302,302,302,302,299,298,304,298
,,,0,0,0.016,0,0,0,0,0,0,0,0,0
neg-s-80,60,473,460,460,460,460,457,457,457,457,445,445,457,445
,,,0,0,0,0,0,0,0,0,0,0,0,0
neg-tt-80,70,592,574,574,574,574,566,566,566,566,565,565,565,565
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-1,40,2191,2190,2190,2190,2190,2120,2120,2120,2120,2190,2190,2190,2190
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-2,40,1852,1831,1831,1831,1831,1738,1738,1779,1779,1748,1714,1836,1704
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-3,40,2310,2276,2276,2276,2276,2247,2247,2247,2247,2276,2276,2276,2276
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-4,40,2084,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,2071,1985
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-5,40,2245,2226,2226,2226,2226,2226,2226,2226,2226,2226,2226,2245,2226
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
corr40-6,40,2516,2516,2516,2516,2516,2516,2516,2490,2490,2453,2453,2469,2453
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-7,40,2294,2294,2294,2294,2294,2269,2269,2254,2254,2190,2269,2269,2269
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-8,40,2184,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-9,40,2129,2119,2119,2129,2129,2112,2112,2112,2112,2119,2119,2129,2119
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr40-10,40,2301,2293,2293,2293,2293,2121,2121,2276,2276,2121,2121,2121,2121
,,,0,0,0,0,0,0,0.016,0,0,0,0,0
corr60-1,60,3678,3642,3642,3677,3677,3627,3627,3627,3627,3577,3577,3577,3577
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr60-2,60,3445,3405,3405,3405,3405,3247,3247,3207,3207,3405,3405,3428,3405
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
corr60-3,60,3595,3516,3516,3516,3516,3415,3415,3415,3415,3489,3489,3516,3489
,,,0,0,0,0,0,0,0.016,0,0,0,0,0
corr60-4,60,3565,3565,3565,3565,3565,3373,3373,3527,3527,3548,3548,3548,3548
,,,0.016,0,0,0,0,0,0,0,0,0,0,0
corr60-5,60,3313,3301,3301,3301,3301,3277,3277,3277,3277,3301,3301,3313,3301
,,,0,0,0,0,0.016,0,0,0,0,0,0,0
corr60-6,60,3295,3281,3281,3281,3281,3231,3231,3281,3281,3257,3273,3276,3259
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr60-7,60,3506,3483,3483,3496,3496,3219,3219,3219,3219,3239,3425,3410,3425
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr60-8,60,3540,3430,3430,3540,3540,3315,3315,3344,3344,3220,3308,3471,3308
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr60-9,60,3372,3250,3250,3250,3250,3208,3208,3208,3208,3245,3245,3286,3241
,,,0,0,0,0,0,0,0.016,0,0,0,0,0
corr60-10,60,3570,3517,3517,3533,3533,3248,3248,3362,3362,3330,3330,3423,3330
,,,0,0,0,0,0,0,0,0,0,0,0.016,0
corr80-1,80,4724,4396,4396,4506,4506,4365,4365,4434,4434,4449,4449,4490,4402
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr80-2,80,4667,4505,4505,4593,4593,4465,4465,4541,4541,4471,4537,4591,4537
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr80-3,80,4993,4993,4993,4993,4993,4699,4699,4777,4777,4944,4993,4993,4993
,,,0,0,0,0,0,0,0,0,0,0,0,0
corr80-4,80,4504,4320,4320,4367,4367,4189,4189,4225,4225,4320,4341,4421,4341
,,,0,0,0.016,0.016,0,0.016,0,0,0,0,0,0
corr80-5,80,5090,4954,4954,5003,5003,4609,4609,4491,4491,4620,5011,5066,5011
,,,0,0.016,0,0,0,0.016,0,0.016,0,0,0,0
corr80-6,80,4465,4225,4225,4244,4244,4297,4297,4290,4290,4212,4235,4253,4235
,,,0,0,0,0,0,0.016,0,0,0,0,0,0
corr80-7,80,5088,4610,4610,4693,4693,4534,4534,4675,4675,4610,4675,5088,4656
,,,0,0.016,0,0,0,0.016,0,0,0,0,0.016,0
corr80-8,80,4757,4688,4688,4685,4685,4685,4685,4685,4685,4522,4529,4688,4487
,,,0.016,0,0,0,0,0.016,0,0,0,0,0.016,0
corr80-9,80,4430,4140,4140,4216,4216,3939,3939,4002,4002,4089,4055,4248,4055
,,,0,0.016,0,0,0,0,0,0.016,0,0,0,0
corr80-10,80,5071,4550,4550,4550,4550,4441,4441,4441,4441,4539,4539,4997,4539
,,,0,0,0,0,0,0,0,0,0,0,0,0
